nr,nachname,vorname,ort,partei,titel,geschaeftsnummer,erstunterzeichner
264,Leuthold,Stefan,,GLP,"Motion von Roger Stieger, Peter Bühler, Simon Wolfer, Stephan Tobler, Marina Bruggmann, Christian Mader, Stefan Leuthold, Cornelia Hasler-Roost, Bernhard Braun vom 24. Januar 2024 ""Einführung einer Lenkungsabgabe: Kurtaxe (Übernachtungstaxe) im Rahmen eines Tourismusförderungsgesetzes""",20/MO 52/638,nein
308,Hasler-Roost,Cornelia,,FDP,"Motion von Roger Stieger, Peter Bühler, Simon Wolfer, Stephan Tobler, Marina Bruggmann, Christian Mader, Stefan Leuthold, Cornelia Hasler-Roost, Bernhard Braun vom 24. Januar 2024 ""Einführung einer Lenkungsabgabe: Kurtaxe (Übernachtungstaxe) im Rahmen eines Tourismusförderungsgesetzes""",20/MO 52/638,nein
377,Zeitner,Nicole,,GLP,"Einfache Anfrage von Nicole Zeitner, Stefan Leuthold vom 14. Februar 2024 ""Digitalisierung im Gesundheitswesen: Wo steht der Kanton Thurgau in Bezug auf das Elektronische Patientendossier (EPD)?""",20/EA 258/643,ja
199,Lei,Hermann,,SVP,"Einfache Anfrage von Cornelia Büchi, Hermann Lei vom 14. Februar 2024 ""Öffentliche Sicherheit am Bushof Arbon""",20/EA 260/645,nein
399,Büchi,Cornelia,,SVP,"Einfache Anfrage von Cornelia Büchi vom 14. Februar 2024 ""Landerwerb""",20/EA 261/646,ja
102,Stokholm,Anders,,FDP,"Motion von Ueli Fisch, Stefan Leuthold, Anders Stokholm, Gabriel Macedo, Elisabeth Rickenbach, Sonja Wiesmann Schätzle, Sandra Reinhart, Iwan Wüst-Singer, Christian Mader vom 28. Februar 2024 ""Standesinitiative: Stärkung des Wahlrechts bei den Nationalratswahlen""",20/MO 54/649,nein
305,Bühler,Peter,,Die Mitte,"Einfache Anfrage von Peter Bühler vom 20. März 2024 ""Plakatierungs-Dschungel im Thurgau - erfolgreiche Regulierung oder reine Schikane?""",20/EA 265/666,ja
377,Zeitner,Nicole,,GLP,"Einfache Anfrage von Sabina Peter Köstli, Didi Feuerle, Turi Schallenberg, Nicole Zeitner, Paul Koch vom 20. März 2024 ""Beteiligungspflicht von interessierten Organisationen sowie Betroffenen an der Velowegnetzplanung, welche im Bundesgesetz über Velowege verankert ist""",20/EA 266/667,nein
302,Möckli,Gottfried,,SVP,"Einfache Anfrage von Paul Koch, Gottfried Möckli vom 20. März 2024 ""Bio-Methanol, in Zukunft auch im Thurgau?""",20/EA 267/668,nein
363,Martin,Oliver,,SVP,"Einfache Anfrage von Oliver Martin, Paul Koch vom 20. März 2024 ""Einfluss einer institutionellen Anbindung an die EU für den Kanton Thurgau""",20/EA 268/669,ja
368,Pfiffner Müller,Martina,,FDP,"Motion von Aline Indergand, Mathias Tschanen, Martina Pfiffner Müller, Reto Ammann, Beda Stähelin, Marcel Wittwer vom 20. März 2024 ""Stellenplafonierung""",20/MO 59/670,nein
303,Ammann,Reto,,GLP,"Motion von Aline Indergand, Mathias Tschanen, Martina Pfiffner Müller, Reto Ammann, Beda Stähelin, Marcel Wittwer vom 20. März 2024 ""Stellenplafonierung""",20/MO 59/670,nein
252,Fisch,Ueli,,GLP,"Einfache Anfrage von Ueli Fisch vom 17. April 2024 ""Sollen Kantone das Bundesdefizit aus der 13. AHV-Rente mitfinanzieren?""",20/EA 269/673,ja
208,Zahnd,Vico,,SVP,"Einfache Anfrage von Vico Zahnd vom 17. April 2024 ""Aufgeblähtes Nettovermögen korrigieren!""",20/EA 270/674,ja
208,Zahnd,Vico,,SVP,"Parlamentarische Initiative von Vico Zahnd vom 8. Mai 2024 ""Anpassung der Finanzkompetenzen""",20/PI 17/679,ja
315,Opprecht,Andreas,,FDP,"Einfache Anfrage von Andreas Opprecht, Maja Brühlmann Zwahlen vom 5. Juni 2024 ""Bald keine Poststellen mehr im Thurgau?""",24/EA 3/25,ja
418,Greber,Kenny,,SP,"Interpellation von Kenny Greber, Turi Schallenberg vom 5. Juni 2024 ""Koordinierter Umgang mit Staatsverweigerern und Reichsbürgern""",24/IN 1/26,ja
