obj_id,timestamp,wert,parameter,einheit,verantwortlichkeit_organisation,messgruppierung_ortsbezeichnung
27600042,2025-07-28T23:00:00+00:00,15.7,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-29T23:00:00+00:00,15.21,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-08-03T23:00:00+00:00,15.84,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-08-06T23:00:00+00:00,16.09,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-08-09T23:00:00+00:00,18.37,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-08-12T23:00:00+00:00,19.04,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-08-15T23:00:00+00:00,19.44,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-08-17T23:00:00+00:00,18.36,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-08-20T23:00:00+00:00,17.37,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-08-21T23:00:00+00:00,17.41,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-08-28T23:00:00+00:00,16.34,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-08-30T23:00:00+00:00,15.33,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-09-03T23:00:00+00:00,16.18,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-09-08T23:00:00+00:00,15.59,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-09-12T23:00:00+00:00,13.96,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-09-15T23:00:00+00:00,15.31,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-09-16T23:00:00+00:00,14.48,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-09-17T23:00:00+00:00,14.1,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-09-19T23:00:00+00:00,14.59,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
