timestamp,a2hard_no2,a2hard_o3,a2hard_pm25,feldbergstr2_no2,feldbergstr2_o3,feldbergstr2_pm25,stjohann2_no2,stjohann2_o3,stjohann2_pm25,timestamp_text,anfangszeit
2022-05-05T18:00:00+00:00,55.1,39.1,26.4,42.1,26.5,28.5,14.9,41.7,26.5,2022-05-05T20:00:00+0200,05.05.2022 20:00:00
2022-04-29T21:00:00+00:00,60.2,50.9,6.1,25.6,70.0,32.7,3.8,85.2,6.1,2022-04-29T23:00:00+0200,29.04.2022 23:00:00
2022-04-26T12:30:00+00:00,35.6,71.2,4.6,42.1,49.9,5.0,7.6,87.6,3.9,2022-04-26T14:30:00+0200,26.04.2022 14:30:00
2022-04-26T15:00:00+00:00,43.8,71.2,4.4,83.4,59.1,7.6,14.9,81.4,4.0,2022-04-26T17:00:00+0200,26.04.2022 17:00:00
2022-04-26T15:30:00+00:00,76.5,57.5,4.1,71.7,38.7,5.1,16.1,81.0,3.6,2022-04-26T17:30:00+0200,26.04.2022 17:30:00
2022-04-26T16:30:00+00:00,40.5,74.6,3.8,68.5,45.5,8.7,13.6,85.6,3.5,2022-04-26T18:30:00+0200,26.04.2022 18:30:00
2022-04-26T17:00:00+00:00,39.4,77.4,4.2,61.0,39.9,10.7,21.0,77.8,3.9,2022-04-26T19:00:00+0200,26.04.2022 19:00:00
2022-04-26T19:30:00+00:00,19.1,56.3,4.6,56.0,39.7,9.1,18.9,60.8,5.8,2022-04-26T21:30:00+0200,26.04.2022 21:30:00
2022-04-27T00:00:00+00:00,2.7,28.3,9.2,16.8,38.1,15.4,20.5,31.1,15.1,2022-04-27T02:00:00+0200,27.04.2022 02:00:00
2022-04-23T13:30:00+00:00,26.4,52.9,25.8,15.1,46.5,31.6,7.1,51.1,26.7,2022-04-23T15:30:00+0200,23.04.2022 15:30:00
2022-04-23T15:30:00+00:00,38.1,45.7,22.9,20.8,52.1,25.0,13.2,60.0,22.7,2022-04-23T17:30:00+0200,23.04.2022 17:30:00
2022-04-19T11:30:00+00:00,32.7,69.8,6.5,33.1,59.8,8.3,6.1,88.4,6.2,2022-04-19T13:30:00+0200,19.04.2022 13:30:00
2022-04-20T10:00:00+00:00,28.7,56.7,4.9,19.9,51.3,7.0,5.2,62.2,5.8,2022-04-20T12:00:00+0200,20.04.2022 12:00:00
2022-04-20T12:30:00+00:00,44.7,70.2,5.9,61.4,54.3,6.8,5.9,76.4,5.0,2022-04-20T14:30:00+0200,20.04.2022 14:30:00
2022-04-20T15:00:00+00:00,51.4,71.4,3.8,45.5,50.3,4.8,13.2,90.2,3.4,2022-04-20T17:00:00+0200,20.04.2022 17:00:00
2022-04-20T16:00:00+00:00,70.8,60.8,3.4,36.7,75.8,4.2,15.3,86.4,3.2,2022-04-20T18:00:00+0200,20.04.2022 18:00:00
2022-04-20T17:00:00+00:00,29.8,76.8,2.8,8.4,95.2,4.0,10.3,90.8,2.9,2022-04-20T19:00:00+0200,20.04.2022 19:00:00
2022-04-20T18:00:00+00:00,13.2,85.6,3.3,30.6,75.6,4.4,18.7,72.4,5.0,2022-04-20T20:00:00+0200,20.04.2022 20:00:00
2022-04-18T13:30:00+00:00,37.1,70.6,2.8,33.8,72.2,3.3,14.3,81.2,2.2,2022-04-18T15:30:00+0200,18.04.2022 15:30:00
2022-04-18T16:30:00+00:00,69.8,70.6,1.9,40.2,57.1,2.3,15.9,83.0,1.7,2022-04-18T18:30:00+0200,18.04.2022 18:30:00
2022-04-19T02:00:00+00:00,8.4,34.3,4.1,17.4,34.7,4.1,29.8,18.2,3.8,2022-04-19T04:00:00+0200,19.04.2022 04:00:00
2022-04-12T13:00:00+00:00,43.8,65.4,3.4,17.0,80.8,3.1,11.5,91.8,2.5,2022-04-12T15:00:00+0200,12.04.2022 15:00:00
2022-04-12T20:00:00+00:00,85.3,56.1,8.4,105.6,71.4,8.8,111.9,73.2,9.1,2022-04-12T22:00:00+0200,12.04.2022 22:00:00
2022-04-12T21:30:00+00:00,57.6,42.1,5.8,60.4,29.7,8.2,52.0,24.1,6.4,2022-04-12T23:30:00+0200,12.04.2022 23:30:00
2022-04-12T22:00:00+00:00,28.9,32.3,5.3,77.6,53.7,8.0,51.4,15.8,5.7,2022-04-13T00:00:00+0200,13.04.2022 00:00:00
2022-04-13T00:30:00+00:00,20.8,22.9,7.2,29.4,23.3,6.6,42.3,15.0,5.4,2022-04-13T02:30:00+0200,13.04.2022 02:30:00
2022-04-13T12:30:00+00:00,26.2,98.2,2.4,41.7,66.8,4.0,6.9,100.1,2.0,2022-04-13T14:30:00+0200,13.04.2022 14:30:00
2022-04-13T14:00:00+00:00,28.9,103.7,2.9,66.5,76.8,4.2,22.0,93.0,2.3,2022-04-13T16:00:00+0200,13.04.2022 16:00:00
2022-04-14T04:00:00+00:00,26.4,9.8,5.1,31.7,19.2,6.4,48.0,37.5,5.1,2022-04-14T06:00:00+0200,14.04.2022 06:00:00
2022-04-16T04:00:00+00:00,29.6,29.1,6.9,19.3,27.5,6.4,25.2,20.5,5.5,2022-04-16T06:00:00+0200,16.04.2022 06:00:00
2022-04-17T06:30:00+00:00,6.9,41.9,6.7,11.7,39.7,7.0,11.9,40.7,6.8,2022-04-17T08:30:00+0200,17.04.2022 08:30:00
2022-04-17T07:00:00+00:00,3.1,68.6,6.6,16.8,38.5,7.1,3.3,49.7,6.9,2022-04-17T09:00:00+0200,17.04.2022 09:00:00
2022-04-17T07:30:00+00:00,1.9,79.4,5.3,27.7,42.3,8.0,13.2,41.9,7.3,2022-04-17T09:30:00+0200,17.04.2022 09:30:00
2022-04-21T02:00:00+00:00,7.1,52.1,7.4,5.7,53.9,8.2,10.5,49.1,7.4,2022-04-21T04:00:00+0200,21.04.2022 04:00:00
2022-04-21T04:00:00+00:00,35.6,15.6,8.4,46.3,22.1,8.0,48.0,45.1,8.5,2022-04-21T06:00:00+0200,21.04.2022 06:00:00
2022-04-17T11:30:00+00:00,43.8,56.7,4.4,17.6,68.4,4.3,1.9,76.8,3.5,2022-04-17T13:30:00+0200,17.04.2022 13:30:00
2022-04-17T16:30:00+00:00,44.9,67.6,2.0,14.7,86.2,2.0,19.9,82.6,1.5,2022-04-17T18:30:00+0200,17.04.2022 18:30:00
2022-04-17T20:30:00+00:00,20.7,65.0,2.3,18.7,75.4,3.4,23.7,74.8,2.9,2022-04-17T22:30:00+0200,17.04.2022 22:30:00
2022-04-17T21:00:00+00:00,15.1,62.2,2.4,15.9,77.0,3.8,24.3,73.0,3.2,2022-04-17T23:00:00+0200,17.04.2022 23:00:00
2022-04-16T13:00:00+00:00,3.4,92.4,2.4,4.6,77.8,3.2,0.6,83.4,2.1,2022-04-16T15:00:00+0200,16.04.2022 15:00:00
2022-04-16T17:00:00+00:00,20.5,80.0,4.2,7.5,80.2,4.6,23.3,66.4,3.9,2022-04-16T19:00:00+0200,16.04.2022 19:00:00
2022-04-16T23:30:00+00:00,4.4,79.6,4.2,8.6,67.4,4.4,9.0,69.0,3.5,2022-04-17T01:30:00+0200,17.04.2022 01:30:00
2022-04-15T02:30:00+00:00,0.8,39.1,17.9,1.0,45.3,15.9,26.0,19.0,16.2,2022-04-15T04:30:00+0200,15.04.2022 04:30:00
2022-04-15T03:30:00+00:00,0.4,33.3,17.1,9.9,32.3,18.1,29.8,9.2,16.5,2022-04-15T05:30:00+0200,15.04.2022 05:30:00
2022-04-15T04:00:00+00:00,2.9,29.9,17.6,7.3,32.7,17.6,35.6,16.2,16.8,2022-04-15T06:00:00+0200,15.04.2022 06:00:00
2022-04-15T10:30:00+00:00,16.3,69.4,18.2,2.1,63.4,17.5,2.7,58.7,13.7,2022-04-15T12:30:00+0200,15.04.2022 12:30:00
2022-04-15T15:30:00+00:00,35.6,85.0,3.3,9.9,96.0,4.1,21.4,81.8,3.1,2022-04-15T17:30:00+0200,15.04.2022 17:30:00
2022-04-15T22:00:00+00:00,28.1,42.9,6.2,40.9,35.5,8.2,34.4,43.5,7.6,2022-04-16T00:00:00+0200,16.04.2022 00:00:00
2022-04-16T01:00:00+00:00,11.9,53.1,6.6,15.5,42.5,6.6,28.7,31.9,6.4,2022-04-16T03:00:00+0200,16.04.2022 03:00:00
2022-04-14T09:30:00+00:00,28.1,48.7,5.9,27.9,48.7,7.7,4.8,65.2,5.7,2022-04-14T11:30:00+0200,14.04.2022 11:30:00
2022-04-14T15:00:00+00:00,81.3,76.6,8.0,49.9,91.4,11.9,28.3,107.5,9.9,2022-04-14T17:00:00+0200,14.04.2022 17:00:00
2022-04-14T15:30:00+00:00,79.0,77.4,7.0,39.2,100.7,8.8,27.3,101.7,8.4,2022-04-14T17:30:00+0200,14.04.2022 17:30:00
2022-04-14T22:00:00+00:00,36.1,44.1,14.6,38.8,42.5,18.0,36.7,40.7,17.7,2022-04-15T00:00:00+0200,15.04.2022 00:00:00
2022-04-14T23:30:00+00:00,27.5,34.9,17.0,11.7,56.1,18.1,23.5,40.7,17.3,2022-04-15T01:30:00+0200,15.04.2022 01:30:00
2022-04-13T20:00:00+00:00,37.9,58.3,3.5,18.5,72.6,6.1,21.6,65.2,3.3,2022-04-13T22:00:00+0200,13.04.2022 22:00:00
2022-04-13T21:30:00+00:00,10.9,80.0,3.4,3.3,78.2,4.2,18.0,66.0,3.0,2022-04-13T23:30:00+0200,13.04.2022 23:30:00
2022-04-13T23:00:00+00:00,0.0,73.4,3.2,6.9,61.2,5.1,26.6,37.7,4.0,2022-04-14T01:00:00+0200,14.04.2022 01:00:00
2022-04-14T00:30:00+00:00,0.2,57.5,3.3,2.1,55.9,5.3,32.3,25.3,4.8,2022-04-14T02:30:00+0200,14.04.2022 02:30:00
2022-04-15T01:30:00+00:00,8.6,35.5,17.1,6.7,43.9,15.8,23.1,30.5,13.4,2022-04-15T03:30:00+0200,15.04.2022 03:30:00
2022-04-17T01:30:00+00:00,2.3,73.8,5.0,5.0,70.4,5.1,12.2,69.0,4.7,2022-04-17T03:30:00+0200,17.04.2022 03:30:00
2022-04-18T02:30:00+00:00,10.7,51.5,4.1,7.3,69.6,4.3,16.8,64.0,4.2,2022-04-18T04:30:00+0200,18.04.2022 04:30:00
2022-04-20T23:00:00+00:00,2.9,85.8,9.5,0.8,82.0,9.3,4.8,80.8,8.8,2022-04-21T01:00:00+0200,21.04.2022 01:00:00
2022-04-20T23:30:00+00:00,5.2,74.0,7.1,1.7,78.4,9.3,6.3,72.8,8.2,2022-04-21T01:30:00+0200,21.04.2022 01:30:00
2022-04-21T02:30:00+00:00,18.7,37.3,7.7,0.4,58.5,8.3,6.3,51.3,7.9,2022-04-21T04:30:00+0200,21.04.2022 04:30:00
2022-04-21T13:30:00+00:00,48.8,63.0,12.3,51.2,48.5,13.5,14.3,83.6,11.7,2022-04-21T15:30:00+0200,21.04.2022 15:30:00
2022-04-21T15:00:00+00:00,88.7,79.8,11.7,59.3,60.0,11.5,16.6,90.0,10.3,2022-04-21T17:00:00+0200,21.04.2022 17:00:00
2022-04-21T23:00:00+00:00,3.8,66.4,8.1,16.6,39.5,5.8,14.0,42.3,6.0,2022-04-22T01:00:00+0200,22.04.2022 01:00:00
2022-04-22T09:00:00+00:00,36.1,30.5,16.5,56.6,41.3,15.2,16.1,31.3,13.6,2022-04-22T11:00:00+0200,22.04.2022 11:00:00
2022-04-22T15:30:00+00:00,101.7,86.8,16.6,31.9,68.8,19.0,16.6,77.0,16.2,2022-04-22T17:30:00+0200,22.04.2022 17:30:00
2022-04-23T02:30:00+00:00,0.8,40.5,22.1,18.7,26.1,25.1,34.8,13.8,24.7,2022-04-23T04:30:00+0200,23.04.2022 04:30:00
2022-04-23T05:30:00+00:00,29.3,19.9,23.8,31.9,18.4,26.0,23.1,14.4,23.5,2022-04-23T07:30:00+0200,23.04.2022 07:30:00
2022-04-23T11:00:00+00:00,38.6,28.9,25.6,45.1,33.7,28.3,31.7,19.6,26.8,2022-04-23T13:00:00+0200,23.04.2022 13:00:00
