date,kategorie,pax,fret,mvt
2021-10-15,Fracht Cargo,0,171.426,6
2021-10-14,Passagierverkehr,17738,1.186,153
2021-10-14,Fracht Express,0,229.931,20
2021-10-14,Fracht Cargo,0,,
2021-10-13,Passagierverkehr,13472,1.703,120
2021-10-13,Fracht Express,0,223.874,18
2021-10-12,Fracht Express,0,214.253,18
2021-10-12,Fracht Cargo,0,,
2021-10-11,Andere Kategorien,0,,35
2021-10-10,Fracht Express,0,,
2021-10-10,Fracht Cargo,0,42.994,4
2021-10-09,Andere Kategorien,1,,76
2021-10-08,Fracht Cargo,0,90.017,4
2021-10-07,Passagierverkehr,16863,1.454,162
2021-10-07,Fracht Express,0,232.955,18
2021-10-06,Fracht Express,0,237.383,20
2021-10-05,Fracht Cargo,0,,
2021-10-04,Passagierverkehr,19101,1.551,156
2021-10-04,Fracht Express,0,177.707,15
2021-10-03,Fracht Express,0,,
2021-10-03,Fracht Cargo,0,24.751,2
2021-10-02,Passagierverkehr,19657,2.074,161
2021-10-01,Andere Kategorien,7,,111
2021-09-29,Fracht Cargo,0,98.057,10
2021-09-28,Andere Kategorien,17,,124
2021-09-27,Andere Kategorien,12,,73
2021-09-26,Fracht Cargo,0,39.652,2
2021-09-25,Fracht Express,0,42.649,4
2021-09-24,Passagierverkehr,21707,2.238,202
2021-09-23,Andere Kategorien,37,,78
2021-09-20,Fracht Cargo,0,38.136,2
2021-09-20,Andere Kategorien,52,,34
2021-09-19,Fracht Express,0,,
2021-09-17,Fracht Cargo,0,99.732,4
2021-09-17,Andere Kategorien,12,,87
2021-09-16,Passagierverkehr,13936,1.898,149
2021-09-16,Fracht Express,0,236.991,18
2021-09-15,Passagierverkehr,10349,1.551,108
2021-09-15,Fracht Express,0,225.615,19
2021-09-15,Andere Kategorien,21,,86
2021-09-14,Passagierverkehr,10516,1.299,101
2021-09-14,Fracht Express,0,191.952,17
2021-09-14,Andere Kategorien,5,,105
2021-09-13,Passagierverkehr,15825,2.124,149
2021-09-13,Fracht Cargo,0,50.036,2
2021-09-12,Andere Kategorien,12,,48
2021-09-11,Fracht Express,0,55.218,4
2021-09-11,Andere Kategorien,9,,68
2021-09-10,Fracht Express,0,163.961,13
2021-09-10,Andere Kategorien,5,,65
2021-09-08,Fracht Express,0,207.427,18
2021-09-08,Fracht Cargo,0,106.962,6
2021-09-07,Passagierverkehr,11291,3.344,127
2021-09-04,Fracht Cargo,0,111.738,4
2021-09-04,Andere Kategorien,7,,85
2021-09-03,Passagierverkehr,20745,1.264,179
2021-09-03,Andere Kategorien,17,,143
