anfangszeit,pm25,zeitstempel_text
2021-04-26T13:00:00+00:00,8.2,26.04.2021 15:00:00
2021-04-26T16:00:00+00:00,6.1,26.04.2021 18:00:00
2021-04-26T20:30:00+00:00,6.0,26.04.2021 22:30:00
2021-04-27T02:00:00+00:00,4.9,27.04.2021 04:00:00
2021-04-27T04:00:00+00:00,5.5,27.04.2021 06:00:00
2021-04-27T07:00:00+00:00,5.4,27.04.2021 09:00:00
2021-04-27T12:00:00+00:00,12.4,27.04.2021 14:00:00
2021-04-27T15:30:00+00:00,7.5,27.04.2021 17:30:00
2021-04-27T18:30:00+00:00,9.6,27.04.2021 20:30:00
2021-04-27T20:00:00+00:00,9.3,27.04.2021 22:00:00
2022-05-21T20:30:00+00:00,3.5,21.05.2022 22:30:00
2022-05-22T00:00:00+00:00,2.1,22.05.2022 02:00:00
2022-05-22T01:00:00+00:00,2.3,22.05.2022 03:00:00
2022-05-22T05:00:00+00:00,4.9,22.05.2022 07:00:00
2022-05-22T11:00:00+00:00,2.5,22.05.2022 13:00:00
2022-05-22T14:30:00+00:00,3.9,22.05.2022 16:30:00
2022-05-22T18:30:00+00:00,2.9,22.05.2022 20:30:00
2022-05-22T20:30:00+00:00,3.1,22.05.2022 22:30:00
2022-05-23T23:00:00+00:00,1.8,24.05.2022 01:00:00
2022-05-24T16:30:00+00:00,1.0,24.05.2022 18:30:00
2022-05-25T01:30:00+00:00,2.0,25.05.2022 03:30:00
2020-11-17T22:30:00+00:00,7.1,17.11.2020 23:30:00
2020-11-18T07:30:00+00:00,10.3,18.11.2020 08:30:00
2020-11-18T12:00:00+00:00,9.1,18.11.2020 13:00:00
2020-11-18T13:00:00+00:00,10.1,18.11.2020 14:00:00
2020-11-18T16:30:00+00:00,14.5,18.11.2020 17:30:00
2020-11-18T17:30:00+00:00,16.1,18.11.2020 18:30:00
2020-11-18T18:00:00+00:00,15.4,18.11.2020 19:00:00
2020-11-19T03:30:00+00:00,14.8,19.11.2020 04:30:00
2020-11-19T05:00:00+00:00,12.9,19.11.2020 06:00:00
2020-11-19T08:00:00+00:00,13.0,19.11.2020 09:00:00
2020-11-21T02:30:00+00:00,19.1,21.11.2020 03:30:00
2020-11-21T05:00:00+00:00,19.4,21.11.2020 06:00:00
2020-11-21T13:30:00+00:00,9.8,21.11.2020 14:30:00
2020-11-21T20:30:00+00:00,25.0,21.11.2020 21:30:00
2020-11-22T02:30:00+00:00,15.8,22.11.2020 03:30:00
2020-11-22T16:00:00+00:00,28.8,22.11.2020 17:00:00
2020-11-23T02:30:00+00:00,29.6,23.11.2020 03:30:00
2020-11-23T04:00:00+00:00,25.4,23.11.2020 05:00:00
2020-11-23T18:00:00+00:00,19.5,23.11.2020 19:00:00
2020-11-24T03:00:00+00:00,19.3,24.11.2020 04:00:00
2020-11-25T00:30:00+00:00,30.9,25.11.2020 01:30:00
2020-11-26T20:30:00+00:00,17.7,26.11.2020 21:30:00
2020-11-27T06:30:00+00:00,11.4,27.11.2020 07:30:00
